,Community,Degree
12746595,296,0
48400874,169,1
48979949,295,1
95249615,169,2
117849621,297,3
118597214,297,3
119142406,297,3
147093744,298,1
147102240,298,1
2072418274,297,3
1750148,56,8
2753547,56,11
2890773,56,7
3072757,56,8
9626624,56,7
46189109,56,7
82194910,56,7
144463965,56,13
117945594,62,3
2054134857,62,3
1752121,132,3
2927682,132,13
2981824,132,3
12054937,132,3
1752264,13,1
145918049,13,6
1782551,299,2
2667305,18,3
39429890,18,6
46484206,300,0
1399088307,299,1
1568943946,18,3
1846801528,18,3
2080934335,301,0
1851536,302,2
2272762,167,3
3086992,302,2
6167382,67,4
31151064,67,4
35139296,67,14
38544108,302,2
143644016,13,2
144611215,167,3
148115261,67,5
1491319456,26,7
1796264540,13,2
2052139675,13,2
2055369949,13,4
1828557,303,0
1754686,121,4
1761129,121,4
2820987,121,4
33459972,121,4
1755408,304,6
2334617,304,6
71903169,304,6
2068768613,304,6
2071801176,304,7
2078292234,304,6
2095616555,304,6
1755572,305,4
3332891,305,2
1602255019,305,3
2108342531,305,4
2111744567,305,3
1808345,306,1
2471050,306,1
2791309,307,11
22603977,307,8
34355283,307,8
69513109,307,10
100586619,307,8
113800385,307,8
1581899184,307,11
1638226602,307,8
2109820179,307,8
40379784,18,12
1756020,308,1
40976745,308,1
1756697,309,2
52307377,309,2
1995828966,309,2
1757328,310,0
1757357,311,2
1772287,311,2
144908194,311,2
1759193,312,2
2517692,312,6
10144636,312,2
1759418,169,3
49756321,169,3
113951800,169,3
1759447,40,3
2403954,40,3
2606591,40,3
39474138,40,6
1777283,9,5
1783914,13,18
1903596,313,1
2111720,314,12
9257981,315,1
10763701,316,3
10803551,316,3
32373383,9,5
39052095,9,5
40387300,313,6
40473515,9,5
48320323,316,2
50824384,315,1
51912276,317,0
90107266,9,5
143802734,13,14
143874794,9,9
145172210,13,1
145543300,316,2
1725426765,314,6
1760364,318,0
1760569,319,3
2225971,319,3
33593773,319,3
2103545060,319,3
1762987,320,1
2533074,320,1
1763153,4,6
1951032,4,6
2683356,4,6
4219233,4,14
40191926,4,11
48203655,4,6
144760974,4,6
1763640,321,0
1764577,322,3
31922068,322,1
37381189,322,2
2099247861,322,2
1825222,0,3
2233759,0,4
2343338,0,8
2382115,0,9
2747559,0,4
